jobid,input,type
111111111,python_exp.py,application/py
111111111,run.bat,application/bat
111111111,s'il vous plaît Pourriez-vous parler plus lentement s'il vous plaît s'il vous plaît.xlsx,application/xlsx
111111111,sshkwy.gem,application/gem
111111111,test (5th copy).json,application/json
588954,test_data_3.zip,application/zip
158,widely used for business purposes and academic purposes like a resume invitation and billing.doc,application/doc
222,yusen_shipping__invoice.xml,application/xml
333,用言の連用形の用法の一。文をいったん中止し、また次に続ける言い方 文をいったん中止し.xls,application/xls
444,用言の連用形の用法の一。文をいったん中止し、また次に続ける言い方.docx,application/docx
555,2021-08-04_14-44-35.mp4,application/mp4
666,apache-maven-3.8.1-bin.tar.gz,application/gz
777,CACHEDIR.TAG,application/tag
888,Corrupted file.zip,application/zip
999,EditorOverview.snag,application/snag
1110,jre-8u301-windows-x64.exe,application/exe
1221,sample.csv,application/csv
1332,Preview10047968_imagenavi.json,application/json
1443,putty-64bit-0.75-installer.msi,application/msi
1554,sample_heic.heic,image/heic
1,JPEG file/1710.JPEG,image/jpeg
145690,PNG file/20220425㈪_6_10_R4.PNG,image/png
212362,Tif file/【テスト用】1038969354（クノールブレムゼ鉄道システムジャパン株式会社Cómo está usted मानक हिन्दी_Вы говорите по-английски-langue d’oïl-C'est très gentil.tif,image/tif
223474,Tif file/gotta dance like there’s nobody watching love like you’ll never be hurt sing like there’s nobody listening and live like it’s heaven on earth.tif,image/tif
